location,n_peak,peak_magnitude_norm,cluster_fd_km,cluster_fd_agg,cluster_fd_jenks,cluster_sturges_jenks,cluster_scott_jenks,mask_use,mobility,vaccination_1_dose,vaccination_full,reproduction_rate,new_tests,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
Azerbaijan,1.0,0.530691415039607,29.0,13.0,2.0,1.0,1.0,60.11,-19.0,0.0,0.0,1.08,18669.666666666668,194.55113333333335,5.233333333333333,96.3,119309.0,32.4,6018.0,3871.0,15847419.0,2.5,559812.0,7.11,0.3,42.5,83241.0,73.0,756.0
Azerbaijan,2.0,3.98184638860111,12.0,17.0,7.0,2.0,3.0,81.14,-21.0,0.0,0.0,1.1,18669.666666666668,194.55113333333335,5.233333333333333,74.54,119309.0,32.4,6018.0,3871.0,15847419.0,2.5,559812.0,7.11,0.3,42.5,83241.0,73.0,756.0
Azerbaijan,3.0,2.08745446068804,1.0,12.0,4.0,2.0,2.0,74.69,-9.0,706433.0,405289.0,1.15,18669.666666666668,194.62749999999997,2.1999999999999997,72.22,119309.0,32.4,6018.0,3871.0,15847419.0,2.5,559812.0,7.11,0.3,42.5,83241.0,73.0,756.0
Azerbaijan,4.0,3.52073522720033,12.0,17.0,7.0,2.0,3.0,45.11,-9.0,3954040.0,2564353.0,1.18,16136.0,0.1958,5.1,61.11,119309.0,32.4,6018.0,3871.0,15847419.0,1.3,559812.0,7.11,0.3,42.5,83241.0,73.0,756.0
Azerbaijan,5.0,2.09868777318969,1.0,12.0,4.0,2.0,2.0,49.6,-4.0,5020170.0,4414295.0,1.08,11889.0,0.1757,5.7,76.85,119309.0,32.4,6018.0,3871.0,15847419.0,1.4000000000000001,559812.0,7.11,0.3,42.5,83241.0,73.0,756.0
Azerbaijan,6.0,5.95926630186205,25.0,2.0,10.0,3.0,4.0,57.57,-6.0,5276671.0,4754599.0,1.34,9703.0,346.0,2.9,79.63,119309.0,32.4,6018.0,3871.0,15847419.0,1.4000000000000001,559812.0,7.11,0.3,42.5,83241.0,73.0,756.0
Bahamas,1.0,2.41685597337072,1.0,7.0,5.0,2.0,2.0,44.89,-56.0,0.0,0.0,1.05,29855.0,194.4755,5.633333333333333,71.76,39497.0,34.3,8996.0,5.2,27717847.0,0.3666666666666667,235954.0,13.17,3.1,20.4,90681.33333333333,73.92,814.0
Bahamas,2.0,1.45376858141369,32.0,27.0,3.0,1.0,2.0,66.25,-24.0,25151.0,3804.0,1.25,29855.0,194.4755,5.633333333333334,59.72,39497.0,34.3,8996.0,5.2,27717847.0,0.3666666666666667,235954.0,13.17,3.1,20.4,90681.33333333333,73.92,814.0
Bahamas,3.0,2.98435457826451,22.0,28.0,6.0,2.0,3.0,71.52,-17.0,74271.0,55291.0,1.15,29855.0,266.7817333333333,3.0666666666666664,55.56,39497.0,34.3,8996.0,5.2,27717847.0,0.3666666666666667,235954.0,13.17,3.1,20.4,90681.33333333333,73.92,814.0
Bahamas,4.0,9.83904375404042,10.0,11.0,14.0,4.0,5.0,46.67,-12.0,159027.0,149486.0,1.31,29855.0,0.3452,2.9,48.15,39497.0,34.3,8996.0,5.2,27717847.0,0.3666666666666667,235954.0,13.17,3.1,20.4,90681.33333333333,73.92,814.0
