index,n_pico,location,peak_date,peak_magnitude,peak_magnitude_norm,bins_fd,bins_sturges,bins_scott,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
109,2,Argentina,2021-01-12,10925.8539699809,2.3957146809917,5,2,2,84.21,-30.0,420958.0,25398.0,ARG,South America,1744704,11710571,44848,151857,38256167.0,302.22,256778.0,983383.0,4254.0,3.33,1.11,3619.0,79354.0,,,,,,,5636913.0,52811.0,123601.0,1158.0,48578.0,1065.0,213.0,4.7,tests performed,175322.0,175255.0,45.0,22.0,19402.0,15263.0,0.38,0.38,0.0,0.0,335.0,15257.0,33.0,79.17,45605823,16177.0,31.9,11198.0,7441.0,18933907.0,0.6,191032.0,5.5,16.2,27.7,,5.0,76.67,845.0,,,,
111,4,Argentina,2021-05-26,30956.833896955,6.78791256479573,11,3,4,87.84,-43.0,9738487.0,2652367.0,ARG,South America,3622135,30139286,75588,474714,79422643.0,776195.0,660865.0,1657.42,11665.0,10409.0,1.08,6644.0,145683.0,,,,,,,14011918.0,115360.0,307.24,2.53,96428.0,2114.0,284.0,3.5,tests performed,11952142.0,9298015.0,2653931.0,201.0,153123.0,115816.0,26.21,20.39,5.82,0.0,2540.0,72233.0,158.0,81.48,45605823,16177.0,31.9,11198.0,7441.0,18933907.0,0.6,191032.0,5.5,16.2,27.7,,5.0,76.67,845.0,,,,
112,5,Argentina,2022-01-15,107196.401819941,23.5049813309895,23,6,8,73.64,-11.0,35916165.0,33761195.0,ARG,South America,7029624,113157,117989,74857,154138738.0,2119291.0,2481196.0,2587148.0,1.93,1641.0,1.29,1965.0,43087.0,,,,,,,31512990.0,122005.0,690986.0,2675.0,200403.0,4394.0,618.0,1.6,tests performed,84053408.0,39671845.0,34573217.0,10048264.0,187753.0,392869.0,184.3,86.99,75.81,22.03,8614.0,53883.0,118.0,49.07,45605823,16177.0,31.9,11198.0,7441.0,18933907.0,0.6,191032.0,5.5,16.2,27.7,,5.0,76.67,845.0,,,,
113,6,Argentina,2022-05-29,6816.89417310329,1.49474205807081,3,1,2,51.65,14.0,35916165.0,33761195.0,ARG,South America,9230573,7396857,128889,9143,202399001.0,1135337.0,162191.0,2826152.0,1403.0,0.2,-0.02,,,,,,,,,36418189.0,8760.0,798543.0,192.0,20056.0,0.44,303.0,3.3,tests performed,102792875.0,41131841.0,37470378.0,24505869.0,56795.0,147090.0,225.39,90.19,82.16,53.73,3225.0,1933.0,4.0,,45605823,16177.0,31.9,11198.0,7441.0,18933907.0,0.6,191032.0,5.5,16.2,27.7,,5.0,76.67,845.0,,,,
115,2,Armenia,2020-06-27,582.020308593479,1.96090030009986,4,2,2,74.56,-17.0,,,ARM,Asia,23909,600143,421,12714,8055246.0,223036.0,202196.0,141.84,3706.0,4284.0,1.1,,,,,,,,,109173.0,2065.0,36782.0,696.0,1917.0,646.0,326.0,3.1,tests performed,,,,,,,,,,,,,,,2968128,102931.0,35.7,11232.0,7571.0,8787.58,1.8,341.01,7.11,1.5,52.1,94043.0,4.2,75.09,776.0,,,,
116,3,Armenia,2020-10-31,2014.27029068306,6.7863322965959,11,3,4,66.65,-14.0,,,ARM,Asia,89813,2041429,1341,26286,30259.14,802189.0,687783.0,451.8,13813.0,8856.0,1.16,,,,,,,,,407980.0,5392.0,137454.0,1817.0,4377.0,1475.0,471.0,2.1,tests performed,,,,,,,,,,,,,,,2968128,102931.0,35.7,11232.0,7571.0,8787.58,1.8,341.01,7.11,1.5,52.1,94043.0,4.2,75.09,776.0,4061.0,19.47,84.04,1368.202449
118,5,Armenia,2021-03-30,908.696051086585,3.06151234409899,6,2,3,45.88,-14.0,0.0,0.0,ARM,Asia,191491,924429,3497,16143,64515749.0,252685.0,311452.0,1178184.0,7075.0,5439.0,1.1,,,,,,,,,853829.0,6354.0,287666.0,2141.0,5203.0,1753.0,177.0,5.6,tests performed,,,,,,,,,,,,,,,2968128,102931.0,35.7,11232.0,7571.0,8787.58,1.8,341.01,7.11,1.5,52.1,94043.0,4.2,75.09,776.0,,,,
119,6,Armenia,2021-10-26,1854.26014185052,6.24723779382331,10,3,4,40.09,-3.0,526399.0,223123.0,ARM,Asia,298069,1976,6112,38571,100423.23,511097.0,665739.0,2059.21,19204.0,12995.0,1.14,,,,,,,,,2033371.0,13696.0,685069.0,4614.0,15292.0,5152.0,129.0,7.8,tests performed,,,,,,14046.0,,,,,4732.0,9787.0,0.33,,2968128,102931.0,35.7,11232.0,7571.0,8787.58,1.8,341.01,7.11,1.5,52.1,94043.0,4.2,75.09,776.0,,,,
120,7,Armenia,2022-02-04,2811.2590174405,9.4714884851344,14,4,5,32.4,-8.0,1053086.0,854190.0,ARM,Asia,383458,3100571,8075,5714,129191868.0,1412338.0,1044622.0,2720.57,3369.0,1925.0,1.49,,,,,,,,,2772936.0,8857.0,934237.0,2984.0,7919.0,2668.0,417.0,2.4,tests performed,,,,,,6669.0,,,,,2247.0,3558.0,0.12,,2968128,102931.0,35.7,11232.0,7571.0,8787.58,1.8,341.01,7.11,1.5,52.1,94043.0,4.2,75.09,776.0,,,,
162,4,Austria,2020-11-12,6573.32398672564,7.26890595001968,12,3,5,58.28,-31.0,,,AUT,Europe,174910,6700714,2108,64857,19341879.0,822176.0,740978.0,233107.0,7962.0,7172.0,1.22,546.0,60378.0,3811.0,421428.0,,,,,2575405.0,38226.0,284793.0,4227.0,30351.0,3356.0,,,tests performed,,,,,,,,,,,,,,75.0,9043072,106749.0,44.4,19202.0,13748.0,45436686.0,0.7,145183.0,6.35,28.4,30.9,,7.37,81.54,922.0,,,,
164,6,Austria,2021-03-26,3078.47366439882,3.40423438450874,6,2,3,52.21,-28.0,1191356.0,440147.0,AUT,Europe,522107,3144143,11239,32571,57735579.0,381176.0,347685.0,1242.83,3096.0,3602.0,1.07,471.0,52084.0,2164.0,239299.0,,,,,22051094.0,485632.0,2438452.0,53702.0,315077.0,34842.0,0.01,100.2,tests performed,1631621.0,1191453.0,440164.0,61.0,,35685.0,18.04,13.18,4.87,0.0,3946.0,22312.0,247.0,73.15,9043072,106749.0,44.4,19202.0,13748.0,45436686.0,0.7,145183.0,6.35,28.4,30.9,,7.37,81.54,922.0,,,,
166,8,Austria,2021-11-20,12802.316831058,14.1570440123202,18,5,7,43.74,-14.0,6327506.0,5823533.0,AUT,Europe,1025373,13236286,14746,54143,113387685.0,1645569.0,1463694.0,1630641.0,5971.0,5987.0,1.23,525.0,58055.0,2872.0,317591.0,,,,,106308001.0,430547.0,11755.74,47611.0,473985.0,52414.0,0.0279,35.8,tests performed,,,,,,100487.0,,,,,11112.0,15726.0,174.0,59.26,9043072,106749.0,44.4,19202.0,13748.0,45436686.0,0.7,145183.0,6.35,28.4,30.9,,7.37,81.54,922.0,,,,
168,10,Austria,2022-03-17,43137.3682054246,47.7021173838101,29,9,11,30.5,-6.0,6816595.0,6407600.0,AUT,Europe,3316853,45726857,18418,28143,366783876.0,7081443.0,5056562.0,2036697.0,3.76,3112.0,1.16,207.0,22.89,3073.0,339818.0,,,,,169094014.0,768595.0,18698736.0,84993.0,602443.0,66619.0,0.0759,13.2,tests performed,,,,,,3434.0,,,,,380.0,280.0,3.0,,9043072,106749.0,44.4,19202.0,13748.0,45436686.0,0.7,145183.0,6.35,28.4,30.9,,7.37,81.54,922.0,,,,
171,2,Azerbaijan,2020-07-03,542.544089379668,0.530691415039607,2,1,1,60.11,-19.0,,,AZE,Asia,19267,556857,235,6857,1884608.0,57026.0,54469.0,22987.0,685.0,671.0,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,10223344,119309.0,32.4,6018.0,3871.0,15847419.0,,559812.0,7.11,0.3,42.5,83241.0,4.7,73.0,756.0,,,,
173,4,Azerbaijan,2020-12-08,4070.77853858268,3.98184638860111,7,2,3,81.14,-21.0,0.0,0.0,AZE,Asia,154152,4078571,1713,40,15078432.0,429116.0,398947.0,167558.0,3717.0,3913.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.54,10223344,119309.0,32.4,6018.0,3871.0,15847419.0,,559812.0,7.11,0.3,42.5,83241.0,4.7,73.0,756.0,,,,
174,5,Azerbaijan,2021-04-09,2134.07650359483,2.08745446068804,4,2,2,74.69,-9.0,706433.0,405289.0,AZE,Asia,281387,2152143,3846,32714,27523969.0,215781.0,210513.0,376198.0,3424.0,3.2,1.15,,,,,,,,,,,,,,,,,,1111722.0,706433.0,405289.0,,42234.0,31813.0,10.87,6.91,3.96,,3112.0,19491.0,191.0,72.22,10223344,119309.0,32.4,6018.0,3871.0,15847419.0,,559812.0,7.11,0.3,42.5,83241.0,4.7,73.0,756.0,,,,
175,6,Azerbaijan,2021-08-27,3599.36873605871,3.52073522720033,7,2,3,45.11,-9.0,3954040.0,2564353.0,AZE,Asia,409745,3551286,5469,31,40079352.0,411118.0,347.37,534952.0,3424.0,3032.0,1.18,,,,,,,,,4395646.0,16136.0,429962.0,1578.0,18140.0,1774.0,0.1958,5.1,tests performed,6493757.0,3929404.0,2564353.0,,74220.0,64041.0,63.52,38.44,25.08,,6264.0,44600.0,436.0,61.11,10223344,119309.0,32.4,6018.0,3871.0,15847419.0,,559812.0,7.11,0.3,42.5,83241.0,4.7,73.0,756.0,,,,
176,7,Azerbaijan,2021-11-02,2145.56070539122,2.09868777318969,4,2,2,49.6,-4.0,5020170.0,4414295.0,AZE,Asia,534748,2097143,7132,27571,52306564.0,213042.0,205133.0,697619.0,3032.0,2697.0,1.08,,,,,,,,,5214586.0,11889.0,510067.0,1163.0,11936.0,1168.0,0.1757,5.7,tests performed,9708264.0,,4414295.0,,47133.0,40480.0,94.96,,43.18,,3960.0,330.0,3.0,76.85,10223344,119309.0,32.4,6018.0,3871.0,15847419.0,,559812.0,7.11,0.3,42.5,83241.0,4.7,73.0,756.0,,,,
177,8,Azerbaijan,2022-02-08,6092.36293915436,5.95926630186205,10,3,4,57.57,-6.0,5276671.0,4754599.0,AZE,Asia,710366,6667571,8920,23571,69484701.0,687838.0,652191.0,872513.0,2152.0,2306.0,1.34,,,,,,,,,,,,,19273.0,1885.0,346.0,2.9,tests performed,12261740.0,5252035.0,4754599.0,2255106.0,43126.0,31802.0,119.94,51.37,46.51,22.06,3111.0,2620.0,26.0,79.63,10223344,119309.0,32.4,6018.0,3871.0,15847419.0,,559812.0,7.11,0.3,42.5,83241.0,4.7,73.0,756.0,,,,
