1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Cote d'Ivoire - peak Nº3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire - peak Nº4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of Congo - peak Nº1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of Congo - peak Nº2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of Congo - peak Nº3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of Congo - peak Nº4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt - peak Nº1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt - peak Nº2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt - peak Nº3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt - peak Nº4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia - peak Nº1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia - peak Nº2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia - peak Nº3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia - peak Nº4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia - peak Nº2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia - peak Nº4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana - peak Nº1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana - peak Nº2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana - peak Nº3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana - peak Nº4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya - peak Nº1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya - peak Nº2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya - peak Nº3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya - peak Nº4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
