index,n_pico,location,peak_date,peak_magnitude,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
233,2,Belarus,2020-12-19,1895.50198714578,68.93,-15,0,0,BLR,Europe,171579,1892143,1316,8857,18170223,204493,200378,139364,847,938,1.02,,,,,,,,,,,,,23159,2453,0.0817,12.2,tests performed,,,,,,,,,,,,,,37.04,9442867,46858,40.3,14799,9788,17167967,,443129,5.18,10.5,46.1,,11,74.79,823,,,,
239,8,Belarus,2021-10-19,2024.03210275602,70.02,-11,2656545,1904108,BLR,Europe,575856,2014714,4432,16143,60983174,202587,213358,469349,1589,1.71,1.01,,,,,,,,,,,,,34891,3695,0.0577,17.3,tests performed,,,,,,37913,,,,,4015,20474,217,19.44,9442867,46858,40.3,14799,9788,17167967,,443129,5.18,10.5,46.1,,11,74.79,823,,,,
240,9,Belarus,2022-02-13,7267.18270812817,46.67,-15,5465447,4497626,BLR,Europe,831966,7796429,6253,15143,88105233,944734,825642,662193,1694,1604,1.28,,,,,,,,,,,,,28467,3015,0.2739,3.7,tests performed,10425997,5460847,4497626,,,32333,110.41,57.83,47.63,,3424,10477,111,23.15,9442867,46858,40.3,14799,9788,17167967,,443129,5.18,10.5,46.1,,11,74.79,823,,,,
244,4,Belgium,2020-10-27,14769.2436557654,72.32,-37,,,BEL,Europe,347289,15304286,11038,78429,29855487,1166662,1315668,948907,11949,6742,1.24,912,78402,5548,476946,,,3965,340.86,4749745,71476,408323,6145,64974,5586,269,3.7,tests performed,,,,,,,,,,,,,,54.63,11632334,375564,41.8,18571,12849,42658576,0.2,114898,4.29,25.1,31.4,,5.64,81.63,931,,,,
252,12,Belgium,2022-03-23,10331.2279261678,12.41,-10,9268961,8712824,BEL,Europe,3757776,10570286,30635,20429,323045745,1389403,908699,2633607,2579,1756,1.17,172,14786,2590,222655,,,1284,110382,32580324,47660,2800842,4097,38337,3296,302,3.3,tests performed,25238250,9234580,9129898,7303002,13791,5374,216.97,79.39,78.49,62.78,462,224,2,23.15,11632334,375564,41.8,18571,12849,42658576,0.2,114898,4.29,25.1,31.4,,5.64,81.63,931,,,,
260,7,Belize,2020-12-06,234.0197099605,,,,,BLZ,North America,7769,289429,173,3714,19186743,414902,714788,427.25,2.47,9173,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,404915,16426,25,3853,2279,7824362,,176957,17.11,,,90083,1.3,74.62,716,,,,
265,12,Belize,2021-10-17,235.937636528997,53.98,-11,211549,157364,BLZ,North America,23990,257571,461,4857,59247002,0,636112,1138511,0,11995,1.2,,,,,,,,,,,,,1567,3.87,0.1644,6.1,tests performed,,,,,,1738,,,,,4292,1038,256,70.37,404915,16426,25,3853,2279,7824362,,176957,17.11,,,90083,1.3,74.62,716,,,,
266,13,Belize,2022-01-18,704.418831803561,64.64,-2,231999,201830,BLZ,North America,43115,720429,611,571,106479138,3082128,1779209,1508959,0,1411,1.31,,,,,,,,,,,,,2790,6.89,0.2582,3.9,tests performed,,,,,,739,,,,,1825,86,21,72.22,404915,16426,25,3853,2279,7824362,,176957,17.11,,,90083,1.3,74.62,716,,,,
278,11,Benin,2021-02-14,75.4060625856816,54.64,-21,0,0,BEN,Africa,4560,52429,56,143,366235,0,4211,4498,0,11,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,12451031,99.11,18.8,3244,1942,2064236,49.6,235848,0.99,0.6,12.3,11035,0.5,61.77,545,,,,
282,15,Benin,2021-09-03,447.444042387586,52.57,1,128417,94718,BEN,Africa,16946,511429,135,1,1361012,81439,41075,10842,321,0.08,0.49,,,,,,,,,,,,,,,,,,,,,,,3579,,,,,287,4261,34,44.44,12451031,99.11,18.8,3244,1942,2064236,49.6,235848,0.99,0.6,12.3,11035,0.5,61.77,545,,,,
327,2,Bolivia,2020-08-01,1502.40201179538,83.71,-54,,,BOL,South America,78793,1501714,3064,75571,6658787,169358,126.91,258938,7352,6387,1.02,,,,,,,,,154047,3519,13018,297,2754,233,0.5453,1.8,tests performed,,,,,,,,,,,,,,89.81,11832936,10202,25.4,6704,4393,6885829,7.1,204299,6.89,,,25383,1.1,71.51,718,,,,
329,4,Bolivia,2021-01-24,2067.32846493747,82.23,-32,0,0,BOL,South America,201037,1979143,9985,49857,16989613,88566,167257,843831,4902,4213,1.1,,,,,,,,,513870,3628,43427,307,4938,417,0.4008,2.5,tests performed,,,,,,,,,,,,,,30.56,11832936,10202,25.4,6704,4393,6885829,7.1,204299,6.89,,,25383,1.1,71.51,718,,,,
331,6,Bolivia,2021-05-28,2762.86748354366,81.48,-14,1271262,345396,BOL,South America,364570,3072143,14377,85286,30809767,252685,259626,1214999,5493,7207,1.11,211,17832,2361,199528,,,,,1452301,14325,122734,1211,12189,1.03,252,4,tests performed,1616658,1271262,345396,,52309,37096,13.66,10.74,2.92,,3135,30404,257,27.78,11832936,10202,25.4,6704,4393,6885829,7.1,204299,6.89,,,25383,1.1,71.51,718,,,,
333,8,Bolivia,2022-01-14,9759.9874117077,73.48,7,6406691,4903383,BOL,South America,725459,10377143,20149,37286,61308453,1196.66,876971,1702.79,3887,3151,1.19,175,14789,1825,154231,,,,,3355066,29723,283536,2512,22398,1893,0.4633,2.2,tests performed,11038395,6395421,4903383,732411,72624,78859,93.29,54.05,41.44,6.19,6664,43906,371,29.63,11832936,10202,25.4,6704,4393,6885829,7.1,204299,6.89,,,25383,1.1,71.51,718,,,,
361,6,Bosnia and Herzegovina,2020-11-04,1516.86440902296,47.53,-16,,,BIH,Europe,55598,1551571,1358,28143,17036525,544208,475438,416123,12563,8624,1.21,,,,,,,,,327103,4456,100232,1365,3424,1049,0.4531,2.2,tests performed,,,,,,,,,,,,,,42.59,3263459,68496,42.5,16569,10711,11713895,0.2,329635,10.08,30.2,47.7,97164,3.5,77.4,0.78,,,,
362,7,Bosnia and Herzegovina,2021-03-28,1530.86173278141,45.86,-30,0,10000,BIH,Europe,162032,1527857,6220,63857,49650386,0,468171,1905953,0,19567,1.17,,,,,,,,,,,,,4628,1418,0.3301,3,tests performed,,,,,,574,,,,,176,413,13,42.59,3263459,68496,42.5,16569,10711,11713895,0.2,329635,10.08,30.2,47.7,97164,3.5,77.4,0.78,,,,
365,10,Bosnia and Herzegovina,2022-01-19,2226.66730941796,23.98,-22,935118,831493,BIH,Europe,324026,2370429,13912,30857,99289128,916819,726355,4262961,7354,9455,1.31,,,,,,,,,,,,,,,,,,,,,,,4315,,,,,1322,1020,31,35.19,3263459,68496,42.5,16569,10711,11713895,0.2,329635,10.08,30.2,47.7,97164,3.5,77.4,0.78,,,,
381,15,Botswana,2021-08-06,2032.55780329624,71.42,31,243894,132466,BWA,Africa,122574,2269143,1704,19286,51131301,0,946565,710817,0,8045,1.26,,,,,,,,,1542739,,643548,,3966,1654,0.5721,1.7,tests performed,376360,243894,132466,,,1603,15.7,10.17,5.53,,669,874,36,53.7,2397240,4044,25.8,3941,2242,15807374,,237372,4.81,5.7,34.4,,1.8,69.59,735,,,,
386,20,Botswana,2022-03-30,3065.13770137078,59.99,77,1461583,1323270,BWA,Africa,305526,5939429,2686,9571,127449066,17343278,2477611,1120455,27949,3993,0.17,,,,,,,,,,,,,1166,486,,,tests performed,,,,,,9685,,,,,4040,506,21,13.89,2397240,4044,25.8,3941,2242,15807374,,237372,4.81,5.7,34.4,,1.8,69.59,735,,,,
389,2,Brazil,2020-07-29,44610.22865837,70.11,-30,,,BRA,South America,2559132,45986143,90259,1042857,11958927,259125,214895,421784,5603,4873,1.07,,,,,,,,,,,,,126094,589,,,tests performed,,,,,,,,,,,,,,72.69,213993441,25.04,33.5,8552,5.06,14103452,3.4,177961,8.11,10.1,17.9,,2.2,75.88,765,,,,
393,6,Brazil,2021-03-22,74347.5380192655,68.11,-40,12314847,4252255,BRA,South America,12062229,75293,295926,2301286,56367284,261.55,351847,1382874,7491,10754,1.06,,,,,,,,,38533309,118714,180068,555,89343,418,,,tests performed,16567102,12314847,4252255,,586739,400504,7.74,5.75,1.99,,1872,318151,149,70.83,213993441,25.04,33.5,8552,5.06,14103452,3.4,177961,8.11,10.1,17.9,,2.2,75.88,765,,,,
399,12,Brazil,2022-01-29,174802.006990527,59.28,0,169844640,149779557,BRA,South America,25256198,189227,626870,525571,118023234,960763,884265,2929389,3271,2456,1.29,,,,,,,,,,,,,76544,358,,,tests performed,361165196,169825847,149779557,46576117,672466,1202899,168.77,79.36,69.99,21.77,5621,258724,121,61.57,213993441,25.04,33.5,8552,5.06,14103452,3.4,177961,8.11,10.1,17.9,,2.2,75.88,765,,,,
443,4,Bulgaria,2020-11-15,3276.92141151099,56.81,-19,,,BGR,Europe,98251,3298714,2130,66429,14246182,118318,478306,308845,5655,9632,1.12,295,42774,5166,749059,,,,,853900,6450,123814,935,8660,1256,0.3809,2.6,tests performed,,,,,,,,,,,,,,48.15,6896655,65.18,44.7,20801,13272,18563307,1.5,424688,5.81,30.1,44.4,,7454,75.05,816,3716.6,3.94,87.56,538.89893
444,5,Bulgaria,2021-03-24,3553.40539959662,57.11,-27,321332,79977,BGR,Europe,317116,3621,12413,99714,45981131,634366,525037,1799858,15.37,14458,1.13,729,105703,8927,1294396,,,,,,,,,15609,2263,232,4.3,tests performed,401309,321332,79977,,12504,7230,5.82,4.66,1.16,,1048,4912,71,61.11,6896655,65.18,44.7,20801,13272,18563307,1.5,424688,5.81,30.1,44.4,,7454,75.05,816,,,,
446,7,Bulgaria,2021-10-28,4481.83796110221,47.06,-8,1662785,1491628,BGR,Europe,592943,4721429,23718,125571,85975448,750799,684597,3439059,17.98,18208,1.17,607,88014,7373,1069069,,,,,,,,,34386,4986,0.1373,7.3,tests performed,2824345,,1491628,,23380,19833,40.95,,21.63,,2876,9454,137,50,6896655,65.18,44.7,20801,13272,18563307,1.5,424688,5.81,30.1,44.4,,7454,75.05,816,,,,
447,8,Bulgaria,2022-01-25,8470.22188519604,46.8,-17,2205988,1980511,BGR,Europe,903676,8841571,32869,75857,131031058,1797828,1282009,4765934,10585,10999,1.17,517,74964,5327,772403,,,,,,,,,30627,4441,0.2887,3.5,tests performed,4114896,,1980511,580808,10657,10745,59.67,,28.72,8.42,1558,2196,32,50,6896655,65.18,44.7,20801,13272,18563307,1.5,424688,5.81,30.1,44.4,,7454,75.05,816,,,,
454,7,Burkina Faso,2020-12-20,159.1235454615,33.52,13,0,0,BFA,Africa,5160,161429,76,714,240032,9583,7509,3535,93,33,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,21497097,70151,17.6,2409,1358,1703102,43.7,269048,2.42,1.6,23.9,11877,0.4,61.58,452,,,,
463,16,Burkina Faso,2022-01-06,166.885118324119,14.16,39,1185689,736162,BFA,Africa,18637,143571,333,2143,866954,0,6679,15.49,0,0.1,0.39,,,,,,,,,,,,,,,,,,,,,,,9770,,,,,454,9408,44,13.89,21497097,70151,17.6,2409,1358,1703102,43.7,269048,2.42,1.6,23.9,11877,0.4,61.58,452,,,,
498,14,Cambodia,2021-06-03,645.895312084493,79.8,-34,2688014,2094573,KHM,Asia,32189,650143,236,6,1899454,43018,38365,13926,354,354,1.09,,,,,,,,,1173413,5785,69242,341,6233,368,0.1043,9.6,tests performed,4782587,2688014,2094573,,58643,80408,28.22,15.86,12.36,,4745,38533,227,66.2,16946446,90672,25.6,4412,2385,3645.07,,270892,4,2,33.7,66229,0.8,69.82,594,,,,
500,16,Cambodia,2021-09-22,688.1121532209,77.04,-35,12702596,10624382,KHM,Asia,105981,648286,2154,12429,6253878,37589,38255,127106,826,733,1.02,,,,,,,,,,,,,3435,203,0.1887,5.3,tests performed,23099813,12666817,10624382,849610,281153,272988,136.31,74.75,62.69,5.01,16109,165803,978,69.44,16946446,90672,25.6,4412,2385,3645.07,,270892,4,2,33.7,66229,0.8,69.82,594,,,,
501,17,Cambodia,2022-02-22,456.037483167242,62.43,-16,14437616,13571359,KHM,Asia,127575,490857,3022,1,7528127,35288,28965,178326,118,59,1.37,,,,,,,,,2846617,2334,167977,138,2788,165,0.1761,5.7,tests performed,34509791,14401837,13827084,7334021,125602,66823,203.64,84.98,81.59,43.28,3943,2387,14,29.63,16946446,90672,25.6,4412,2385,3645.07,,270892,4,2,33.7,66229,0.8,69.82,594,,,,
514,13,Cameroon,2021-03-31,1155.73427738442,31.6,2,0,0,CMR,Africa,47669,1006714,721,17143,1750975,0,36979,26484,0,0.63,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,27224262,50885,18.8,3165,1919,3364926,23.8,244661,7.2,,,2735,1.3,59.29,563,,,,
519,18,Cameroon,2021-10-01,644.99039515848,25.88,20,386982,84408,CMR,Africa,92303,984143,1459,13,3390468,0,36149,53592,0,478,0.54,,,,,,,,,,,,,,,,,,,,,,,1610,,,,,59,1450,5,38.89,27224262,50885,18.8,3165,1919,3364926,23.8,244661,7.2,,,2735,1.3,59.29,563,,,,
522,21,Cameroon,2022-01-23,373.642614896854,23.74,33,903977,697097,CMR,Africa,114113,635286,1867,2,4191592,0,23335,68579,0,73,0.43,,,,,,,,,,,,,,,,,,,,,,,6236,,,,,229,7159,26,30.56,27224262,50885,18.8,3165,1919,3364926,23.8,244661,7.2,,,2735,1.3,59.29,563,,,,
530,5,Canada,2021-01-05,7685.57505922581,84.92,-48,156677,6,CAN,North America,629266,7675143,17410,139143,16530089,197752,201617,457341,4334,3655,1.07,859,22565,4457,117.08,,,,,18514140,83429,486345,2192,103907,2.73,0.0739,13.5,tests performed,156845,156839,6,,17879,12108,0.41,0.41,0,,318,12107,32,72.69,38067913,4037,41.4,16984,10797,44017591,0.5,105599,7.37,12,16.6,,2.5,82.43,929,,,,
531,6,Canada,2021-04-15,8474.58761716146,80.28,-33,8402488,900049,CAN,North America,1109740,8861429,24364,62143,29151585,256279,232779,640014,1813,1632,1.11,1117,29342,3766,98928,,,,,29498439,133832,774.89,3516,131479,3454,0.0674,14.8,tests performed,9310518,8408387,902084,47,309827,278866,24.46,22.09,2.37,0,7325,263685,693,75.46,38067913,4037,41.4,16984,10797,44017591,0.5,105599,7.37,12,16.6,,2.5,82.43,929,,,,
532,7,Canada,2021-09-17,4315.08457239027,65.7,-15,28678189,26352475,CAN,North America,1574529,4433,27525,26857,41361054,131896,116.45,723.05,1261,706,1.1,712,18703,2126,55848,,,,,41973569,112092,1102597,2945,92696,2435,0.0478,20.9,tests performed,55085874,28618603,26380792,86479,159219,91781,144.7,75.18,69.3,0.23,2411,36644,96,72.69,38067913,4037,41.4,16984,10797,44017591,0.5,105599,7.37,12,16.6,,2.5,82.43,929,,,,
533,8,Canada,2022-01-05,37423.188753957,79.61,-25,31889685,29467043,CAN,North America,2412242,39199571,30955,69429,63366804,1048626,1029727,813152,3415,1824,1.27,701,18414,5083,133525,,,,,53527515,137777,1406106,3619,159916,4201,0.2451,4.1,tests performed,70031151,31818961,29489571,8722619,392383,266221,183.96,83.58,77.47,22.91,6993,16225,43,78.24,38067913,4037,41.4,16984,10797,44017591,0.5,105599,7.37,12,16.6,,2.5,82.43,929,,,,
534,9,Canada,2022-04-16,12291.9580058358,44.37,-19,33361793,31243831,CAN,North America,3644519,14205714,38392,66429,95737295,438348,373168,1008513,1996,1745,0.86,448,11768,5696,149627,,,,,60251126,7471,1582727,196,45447,1194,0.3126,3.2,tests performed,83009859,32603573,31244577,19161709,42182,65176,218.06,85.65,82.08,50.34,1712,1494,4,42.59,38067913,4037,41.4,16984,10797,44017591,0.5,105599,7.37,12,16.6,,2.5,82.43,929,,,,
540,6,Cape Verde,2020-10-13,97.7391854462972,70.2,-43,,,CPV,Africa,7254,105143,77,1143,12909747,176188,187.12,137035,3559,2034,1.07,,,,,,,,,,561,,998,507,902,0.2074,4.8,tests performed,,,,,,,,,,,,,,68.52,561901,135.58,25.7,4.46,3437,6222554,,182219,2.42,2.1,16.5,,2.1,72.98,665,,,,
543,9,Cape Verde,2021-04-30,284.08330226837,61.5,-40,14618,2015,CPV,Africa,23882,299714,217,2286,42502149,583733,533393,386189,7119,4068,1.11,,,,,,,,,,,,,,,,,tests performed,,,,,,390,,,,,694,336,0.06,59.26,561901,135.58,25.7,4.46,3437,6222554,,182219,2.42,2.1,16.5,,2.1,72.98,665,,,,
545,11,Cape Verde,2022-01-06,823.861157219477,45.43,-9,317822,260298,CPV,Africa,47376,948286,358,857,84313785,2468406,1687638,637123,3559,1525,1.83,,,,,,,,,,,,,,,,,tests performed,,,,,,968,,,,,1723,690,123,62.96,561901,135.58,25.7,4.46,3437,6222554,,182219,2.42,2.1,16.5,,2.1,72.98,665,,,,
588,15,Central African Republic,2021-08-10,301.281890563091,70.19,12,95377,6700,CAF,Africa,11195,577714,98,0,2275413,821953,117422,19919,0,0,0.12,,,,,,,,,,,,,,,,,,,,,,,81,,,,,16,988,0.02,24.07,4919987,7479,18.3,3655,2251,661.24,,435727,6.1,,,16603,1,53.28,397,,,,
593,20,Central African Republic,2022-01-14,79.7471935284496,70.28,20,619991,487076,CAF,Africa,13319,123571,108,1,2707121,135976,25116,21951,407,203,0.51,,,,,,,,,79140,,16085,,,,,,tests performed,,,,,,3596,,,,,731,3314,67,18.52,4919987,7479,18.3,3655,2251,661.24,,435727,6.1,,,16603,1,53.28,397,,,,
595,1,Chad,2020-05-13,25.6034439003185,69.1,-23,,,TCD,Africa,372,28857,42,3571,21992,887,1706,2483,118,211,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,16914985,11833,16.7,2486,1446,1768153,38.4,280995,6.1,,,5818,,54.24,398,,,,
601,7,Chad,2021-01-12,48.087563126637,57.87,-5,0,0,TCD,Africa,2668,54143,108,429,157.73,4.67,3201,6385,59,25,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,16914985,11833,16.7,2486,1446,1768153,38.4,280995,6.1,,,5818,,54.24,398,,,,
611,17,Chad,2021-12-03,43.9222189976722,25.16,29,195340,75584,TCD,Africa,5703,85143,181,857,337157,35235,5034,10701,355,51,0.04,,,,,,,,,,,,,,,,,,,,,,,1972,,,,,117,1522,9,22.22,16914985,11833,16.7,2486,1446,1768153,38.4,280995,6.1,,,5818,,54.24,398,,,,
616,1,Chile,2020-06-07,6011.11009382631,93.15,-60,,,CHL,South America,166756,6172286,1637,83286,8679.62,333379,321266,85206,4997,4335,1.15,1558,81094,,,804,41848,4247,221056,700750,21265,36474,1107,18002,937,0.3429,2.9,tests performed,,,,,,,,,,,,,,78.24,19212362,24282,35.4,11087,6938,22767037,1.3,127993,8.46,34.2,41.5,,2.11,80.18,851,4543,9.77,62.53,236.4623361
620,5,Chile,2021-04-09,7025.10977811723,94.08,-42,7428664,4662181,CHL,South America,1060421,6990857,24108,98143,55194723,476308,363873,1254817,6714,5108,1.05,3075,160053,,,1592,82863,4486,233495,11743832,77899,611264,4055,57107,2972,0.1224,8.2,tests performed,12034523,7372164,4662359,,219104,174521,62.64,38.37,24.27,,9084,59775,311,81.94,19212362,24282,35.4,11087,6938,22767037,1.3,127993,8.46,34.2,41.5,,2.11,80.18,851,,,,
623,8,Chile,2022-02-10,34325.4981112097,87.27,1,16869348,15857187,CHL,South America,2504168,35166143,40273,64143,130341496,1981537,1830391,2096202,8432,3339,1.14,720,37476,,,436,22694,3463,180249,30910518,129605,1608887,6746,124301,6.47,0.2829,3.5,tests performed,47336602,17695445,17077207,13138210,70096,60667,246.39,92.1,88.89,68.38,3158,6300,33,30.09,19212362,24282,35.4,11087,6938,22767037,1.3,127993,8.46,34.2,41.5,,2.11,80.18,851,,,,
624,9,Chile,2022-06-06,8579.65294101218,77.29,20,16869348,15857187,CHL,South America,3756220,8221857,57991,14857,195510578,395631,427946,3018421,937,773,1.22,163,8484,,,97,5049,,,38718740,50296,2015303,2618,60083,3127,0.1368,7.3,tests performed,57555373,17973950,17539441,22616686,174190,147581,299.57,93.55,91.29,117.72,7682,1650,9,27.31,19212362,24282,35.4,11087,6938,22767037,1.3,127993,8.46,34.2,41.5,,2.11,80.18,851,,,,
625,1,China,2020-02-10,3470.62073504358,68.18,-80,,,CHN,Asia,42306,3230429,1011,83714,29293,1742,2237,0.7,74,58,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.46,1444216102,147674,38.7,10641,5929,15308712,0.7,261899,9.74,1.9,48.4,,4.34,76.91,761,,,,
640,16,China,2022-04-14,23408.0697595632,58.68,-60,1292981862,1215402950,CHN,Asia,517880,26469143,4638,0,358589,20.44,18328,3211,0,0,1.13,,,,,,,,,,,,,,,,,,3308616000,,,,2732000,2736143,229.09,,,,1895,256626,18,79.17,1444216102,147674,38.7,10641,5929,15308712,0.7,261899,9.74,1.9,48.4,,4.34,76.91,761,,,,
644,4,Colombia,2021-01-15,16464.9601308007,87.22,-32,0,0,COL,South America,1870179,16373,47868,348143,36480022,411151,319374,933721,7354,6791,1.11,,,,,,,,,8974305,86722,175054,1692,64303,1254,289,3.5,tests performed,,,,,,,,,,,,,,81.02,51265841,44223,32.2,7646,4312,13254949,4.5,124.24,7.44,4.7,13.5,65386,1.71,77.29,767,,,,
646,6,Colombia,2021-06-24,29096.1936911612,83.26,3,10952297,5566656,COL,South America,4060013,28598429,102636,640,79195287,643645,557846,2002035,13.44,12484,1.06,,,,,,,,,19238762,119377,375274,2329,104057,2.03,331,3,tests performed,16365857,10799201,5566656,,327040,329079,31.92,21.07,10.86,,6419,151864,296,59.26,51265841,44223,32.2,7646,4312,13254949,4.5,124.24,7.44,4.7,13.5,65386,1.71,77.29,767,,,,
648,8,Colombia,2022-01-15,28375.0700060592,72.47,19,39380312,29932016,COL,South America,5511479,30206714,130860,81714,107507824,693932,589217,2552577,2516,1594,1.34,,,,,,,,,30928838,55670,603303,1086,102199,1994,381,2.6,tests performed,68156006,39227216,29932016,4485722,251589,246961,132.95,76.52,58.39,8.75,4817,62423,122,62.04,51265841,44223,32.2,7646,4312,13254949,4.5,124.24,7.44,4.7,13.5,65386,1.71,77.29,767,,,,
673,3,Congo,2020-07-16,78.5394132425386,53.24,-20,,,COG,Africa,2358,76714,48,143,416827,24041,13561,8485,177,25,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15,5657017,15405,19,3402,2063,4881406,37,344094,7.2,1.7,52.3,47964,,64.57,574,,,,
689,19,Congo,2021-10-22,125.382854325761,34.06,18,296728,120492,COG,Africa,16408,127714,239,2429,2900469,0,22576,42248,0,429,0.88,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,424,2283,0.04,35.19,5657017,15405,19,3402,2063,4881406,37,344094,7.2,1.7,52.3,47964,,64.57,574,,,,
690,20,Congo,2022-01-06,177.755494248631,34.73,21,632936,593287,COG,Africa,21277,169714,369,286,3761.17,0,30001,65229,0,51,0.62,,,,,,,,,,,,,,,,,,,,,,,1122,,,,,198,1104,0.02,51.85,5657017,15405,19,3402,2063,4881406,37,344094,7.2,1.7,52.3,47964,,64.57,574,,,,
705,10,Costa Rica,2021-09-15,2301.8558812351,84.05,-24,3186909,1806341,CRI,North America,499461,2211,5889,26714,97189307,530253,430235,1145931,7394,5198,1.07,,,,,,,,,1805445,7947,351319,1546,6877,1338,0.27,3.7,people tested,,,,,,58224,,,,,11330,15749,306,54.63,5139053,96079,33.6,9468,5694,15524995,1.3,137973,8.78,6.4,17.4,83841,1.13,80.28,0.81,,,,
706,11,Costa Rica,2022-01-30,5624.17673758383,78.34,-13,4059525,3672941,CRI,North America,682480,5569143,7533,11714,132802678,0,1083.69,1465834,0,2279,1.21,,,,,,,,,2605386,10300,506978,2004,13125,2554,388,2.6,people tested,,,,,,12833,,,,,2497,4792,93,50,5139053,96079,33.6,9468,5694,15524995,1.3,137973,8.78,6.4,17.4,83841,1.13,80.28,0.81,,,,
707,12,Costa Rica,2022-05-23,1824.33258251239,71.83,-4,4333233,4073239,CRI,North America,877533,1624143,8472,4,170757725,0,316039,1648553,0,778,0.03,,,,,,,,,3601705,6920,700.85,1347,11500,2238,151,6.6,people tested,11017624,4437629,4143017,2299181,,17890,214.39,86.35,80.62,44.74,3481,1031,0.02,,5139053,96079,33.6,9468,5694,15524995,1.3,137973,8.78,6.4,17.4,83841,1.13,80.28,0.81,,,,
710,3,Cote d'Ivoire,2020-06-19,279.225561992513,49.11,-9,,,CIV,Africa,6874,312857,49,571,254088,15894,11564,1811,0,21,1.3,,,,,,,,,43075,1632,1592,0.06,1139,42,0.2747,3.6,tests performed,,,,,,,,,,,,,,62.96,27053629,76399,18.7,2933,1582,3601006,28.2,303.74,2.42,,,19351,,57.78,538,,,,
715,8,Cote d'Ivoire,2021-03-20,387.041491458248,31.56,6,2110081,1983477,CIV,Africa,39913,372714,217,857,1475329,17706,13777,8021,37,32,1.1,,,,,,,,,481527,4097,17799,151,3221,119,0.1157,8.6,tests performed,24171,24171,,,1728,1538,0.09,0.09,,,57,1538,6,25.93,27053629,76399,18.7,2933,1582,3601006,28.2,303.74,2.42,,,19351,,57.78,538,,,,
720,13,Cote d'Ivoire,2021-08-29,235.20726908006,36.58,31,6312167,5988314,CIV,Africa,55108,209,430,5,2036991,9315,7725,15894,222,185,1.17,,,,,,,,,,,,,4090,151,0.0511,19.6,tests performed,,,,,,6436,,,,,238,420,2,17.59,27053629,76399,18.7,2933,1582,3601006,28.2,303.74,2.42,,,19351,,57.78,538,,,,
722,15,Cote d'Ivoire,2022-01-01,876.810040277192,34.11,56,6315788,5991795,CIV,Africa,71815,1138286,718,1571,2654542,29977,42075,26.54,148,58,1.9,,,,,,,,,1236834,3464,45718,128,4033,149,0.2822,3.5,tests performed,7220501,,,,107268,119128,26.69,,,,4403,76279,282,13.89,27053629,76399,18.7,2933,1582,3601006,28.2,303.74,2.42,,,19351,,57.78,538,,,,
729,4,Croatia,2020-12-06,3431.79975180409,36.22,-35,0,0,HRV,Europe,150353,3391571,2174,66,36836265,710251,830.93,532627,17.64,16.17,1.06,,,2543,623031,,,2217,543064,810885,9340,198666,2288,9509,2.33,0.3567,2.8,people tested,,,,,,,,,,,,,,52.78,4081657,73726,44,19724,13053,22669797,0.7,253782,5.59,34.3,39.9,,5.54,78.49,851,2864.3,5.93,72.94,701.7493141
730,5,Croatia,2021-04-18,2130.6168251081,25.15,-7,553883,139647,HRV,Europe,307790,2182,6562,36286,75408.1,383423,534587,1607.68,9555,8.89,1.1,,,2105,515722,,,1636,400857,,,,,8238,2018,0.2649,3.8,people tested,693530,553883,139647,,2265,15050,16.99,13.57,3.42,,3687,10895,267,52.78,4081657,73726,44,19724,13053,22669797,0.7,253782,5.59,34.3,39.9,,5.54,78.49,851,6685.4,9.67,33.2,1637.91323
