index,n_pico,location,peak_date,peak_magnitude,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
53,10,Andorra,2022-01-10,423.892022638769,49.61,-23,57602,52573,AND,Europe,27983,497286,141,143,361752463,20360938,6428701,1822789,0,1847,1.14,,,,,,,,,281100,,3633943,,853,11027,583,1.7,tests performed,,,,,,865,,,,,11182,27,35,44.44,77354,163755,,,,,,109135,7.97,29,37.8,,,83.73,868,,,,
58,15,Andorra,2022-05-15,62.0458992426625,39.7,-7,57968,54490,AND,Europe,42156,62714,153,0,544975.05,0,810744,1977.92,0,0,0.58,,,,,,,,,,,,,,,,,,,,,,,14,,,,,181,0,0,8.33,77354,163755,,,,,,109135,7.97,29,37.8,,,83.73,868,,,,
63,5,Angola,2020-10-27,239.67526650096,78.38,-13,,,AGO,Africa,9871,260286,271,2857,290892,6.69,7.67,7986,29,84,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,33933611,23.89,16.8,2405,1362,5819495,,276045,3.94,,,26664,,61.15,581,,,,
67,9,Angola,2021-05-19,270.195614558074,80.01,2,614519,92327,AGO,Africa,31438,290429,696,7286,926456,11581,8559,20511,324,215,1.05,,,,,,,,,,,,,,,,,,,,,,,11468,,,,,338,4020,12,33.33,33933611,23.89,16.8,2405,1362,5819495,,276045,3.94,,,26664,,61.15,581,,,,
69,11,Angola,2021-09-30,464.223472241279,72.78,30,2410995,1074811,AGO,Africa,56583,391857,1537,11,1667462,0,11548,45294,0,324,1.21,,,,,,,,,,,,,,,,,,,,,,,64012,,,,,1886,52870,156,63.89,33933611,23.89,16.8,2405,1362,5819495,,276045,3.94,,,26664,,61.15,581,,,,
70,12,Angola,2021-12-30,1271.02888252344,65.54,85,7723572,3929727,AGO,Africa,79871,1644143,1764,3,2353743,41139,48452,51984,118,88,2,,,,,,,,,,,,,,,,,,11615144,7685417,3929727,,,64318,34.23,22.65,11.58,,1895,37393,0.11,73.15,33933611,23.89,16.8,2405,1362,5819495,,276045,3.94,,,26664,,61.15,581,,,,
108,1,Argentina,2020-10-18,14042.732735267,88.29,-35,,,ARG,South America,989680,13639143,26267,342714,21700738,231571,299066,575957,3508,7515,1.06,4387,96194,,,,,,,2942097,17678,64511,388,31992,701,391,2.6,tests performed,,,,,,,,,,,,,,82.87,45605823,16177,31.9,11198,7441,18933907,0.6,191032,5.5,16.2,27.7,,5,76.67,845,,,,
109,2,Argentina,2021-01-12,10925.8539699809,84.21,-30,420958,25398,ARG,South America,1744704,11710571,44848,151857,38256167,302.22,256778,983383,4254,3.33,1.11,3619,79354,,,,,,,5636913,52811,123601,1158,48578,1065,213,4.7,tests performed,175322,175255,45,22,19402,15263,0.38,0.38,0,0,335,15257,33,79.17,45605823,16177,31.9,11198,7441,18933907,0.6,191032,5.5,16.2,27.7,,5,76.67,845,,,,
111,4,Argentina,2021-05-26,30956.833896955,87.84,-43,9738487,2652367,ARG,South America,3622135,30139286,75588,474714,79422643,776195,660865,1657.42,11665,10409,1.08,6644,145683,,,,,,,14011918,115360,307.24,2.53,96428,2114,284,3.5,tests performed,11952142,9298015,2653931,201,153123,115816,26.21,20.39,5.82,0,2540,72233,158,81.48,45605823,16177,31.9,11198,7441,18933907,0.6,191032,5.5,16.2,27.7,,5,76.67,845,,,,
112,5,Argentina,2022-01-15,107196.401819941,73.64,-11,35916165,33761195,ARG,South America,7029624,113157,117989,74857,154138738,2119291,2481196,2587148,1.93,1641,1.29,1965,43087,,,,,,,31512990,122005,690986,2675,200403,4394,618,1.6,tests performed,84053408,39671845,34573217,10048264,187753,392869,184.3,86.99,75.81,22.03,8614,53883,118,49.07,45605823,16177,31.9,11198,7441,18933907,0.6,191032,5.5,16.2,27.7,,5,76.67,845,,,,
