n_pico,location,peak_magnitude,mask_use,mobility,vaccination_1_dose,vaccination_full,reproduction_rate,hosp_patients,total_tests,new_tests,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
11,Angola,464.223472241279,72.78,30.0,2410995.0,1074811.0,1.21,,,,,,63.89,33933611,23.89,16.8,2405.0,1362.0,5819495.0,,276045.0,3.94,,,26664.0,61.15,581.0
12,Angola,1271.02888252344,65.54,85.0,7723572.0,3929727.0,2.0,,,,,,73.15,33933611,23.89,16.8,2405.0,1362.0,5819495.0,,276045.0,3.94,,,26664.0,61.15,581.0
1,Argentina,14042.732735267,88.29,-35.0,,,1.06,,2942097.0,17678.0,391.0,2.6,82.87,45605823,16177.0,31.9,11198.0,7441.0,18933907.0,0.6,191032.0,5.5,16.2,27.7,,76.67,845.0
2,Argentina,10925.8539699809,84.21,-30.0,420958.0,25398.0,1.11,,5636913.0,52811.0,213.0,4.7,79.17,45605823,16177.0,31.9,11198.0,7441.0,18933907.0,0.6,191032.0,5.5,16.2,27.7,,76.67,845.0
4,Argentina,30956.833896955,87.84,-43.0,9738487.0,2652367.0,1.08,,14011918.0,115360.0,284.0,3.5,81.48,45605823,16177.0,31.9,11198.0,7441.0,18933907.0,0.6,191032.0,5.5,16.2,27.7,,76.67,845.0
5,Argentina,107196.401819941,73.64,-11.0,35916165.0,33761195.0,1.29,,31512990.0,122005.0,618.0,1.6,49.07,45605823,16177.0,31.9,11198.0,7441.0,18933907.0,0.6,191032.0,5.5,16.2,27.7,,76.67,845.0
6,Argentina,6816.89417310329,51.65,14.0,35916165.0,33761195.0,-0.02,,36418189.0,8760.0,303.0,3.3,,45605823,16177.0,31.9,11198.0,7441.0,18933907.0,0.6,191032.0,5.5,16.2,27.7,,76.67,845.0
2,Armenia,582.020308593479,74.56,-17.0,,,1.1,,109173.0,2065.0,326.0,3.1,,2968128,102931.0,35.7,11232.0,7571.0,8787.58,1.8,341.01,7.11,1.5,52.1,94043.0,75.09,776.0
3,Armenia,2014.27029068306,66.65,-14.0,,,1.16,,407980.0,5392.0,471.0,2.1,,2968128,102931.0,35.7,11232.0,7571.0,8787.58,1.8,341.01,7.11,1.5,52.1,94043.0,75.09,776.0
5,Armenia,908.696051086585,45.88,-14.0,0.0,0.0,1.1,,853829.0,6354.0,177.0,5.6,,2968128,102931.0,35.7,11232.0,7571.0,8787.58,1.8,341.01,7.11,1.5,52.1,94043.0,75.09,776.0
6,Armenia,1854.26014185052,40.09,-3.0,526399.0,223123.0,1.14,,2033371.0,13696.0,129.0,7.8,,2968128,102931.0,35.7,11232.0,7571.0,8787.58,1.8,341.01,7.11,1.5,52.1,94043.0,75.09,776.0
7,Armenia,2811.2590174405,32.4,-8.0,1053086.0,854190.0,1.49,,2772936.0,8857.0,417.0,2.4,,2968128,102931.0,35.7,11232.0,7571.0,8787.58,1.8,341.01,7.11,1.5,52.1,94043.0,75.09,776.0
