location,n_pico,peak_date,peak_magnitude,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Honduras,14,2021-08-08,"37,68607468","81,4",-8,2027673,502915,HND,North America,305936,"1260,714",8120,"40,857","30402,085",0,"125,282","806,917",0,"4,06","1,03",,,,,,,,,,,,,,,,,,,,,,,69591,,,,,6916,39385,"0,391","78,7",10062994,"82,805","24,9","4,652","2,883","4541,795",16,"240,208","7,21",2,,"84,169","0,7","75,27","0,634",,,,
Honduras,18,2022-02-21,"14,090889","73,14",6,5211886,4561876,HND,North America,408456,"2368,857",10671,"22,714","40589,908","366,889","235,403","1060,42","6,261","2,257","0,6",,,,,,,,,,,,,,,,,,,,,,,60823,,,,,6044,739,"0,007","34,26",10062994,"82,805","24,9","4,652","2,883","4541,795",16,"240,208","7,21",2,,"84,169","0,7","75,27","0,634",,,,
Hong Kong,15,2022-03-13,"265,9533443","84,28",-39,6425394,5410982,HKG,Asia,891267,"32352,429",3993,"283,714","118004,846","4293,772","4283,501","528,678","34,954","37,564",,,,,,,,,,,,,,123253,"16,319",,,tests performed,14084202,6409889,5411003,2263310,51530,73282,"186,48","84,87","71,64","29,97",9703,14840,"0,196",75,7552800,"7039,714","44,8","16,303","10,158","56054,92",,,"8,33",,,,,"84,86","0,949",,,,
Hungary,3,2020-12-13,"160,425469","80,99",-8,0,0,HUN,Europe,280400,"4303,143",6965,"156,714","29104,763","431,07","446,655","722,948","18,787","16,267","0,85",,,7646,"793,634",,,,,1933295,25239,"200,671","2,62",24758,"2,57","0,1738","5,8",tests performed,,,,,,,,,,,,,,"72,22",9634162,"108,043","43,4","18,577","11,976","26777,561","0,5","278,296","7,55","26,8","34,8",,"7,02","76,88","0,854","7810,4","6,28","59,92","810,6984292"
Hungary,4,2021-04-08,"249,1938806","83,61",-21,2708933,1126139,HUN,Europe,698490,"5252,714",22681,"240,857","72501,376","499,68","545,218","2354,227","28,233",25,"0,81",,,11663,"1210,588",,,,,4374771,30023,"454,089","3,116",25144,"2,61","0,2089","4,8",tests performed,3815241,2689102,1126139,,129210,113624,"39,6","27,91","11,69",,11794,76060,"0,789","70,37",9634162,"108,043","43,4","18,577","11,976","26777,561","0,5","278,296","7,55","26,8","34,8",,"7,02","76,88","0,854",,,,
Hungary,7,2021-12-05,"180,2235633","55,27",12,6176566,5805972,HUN,Europe,1134869,"9425,857",35122,"179,429","117796,338",0,"978,379","3645,569",0,"18,624","0,96",,,7463,"774,639",,,,,,,,,35608,"3,696","0,2647","3,8",tests performed,,6159926,5867068,2765500,,53983,,"63,94","60,9","28,71",5603,5567,"0,058","35,19",9634162,"108,043","43,4","18,577","11,976","26777,561","0,5","278,296","7,55","26,8","34,8",,"7,02","76,88","0,854","32052,5","12,73","69,16","3326,962947"
Iceland,1,2020-04-07,"0,381959412","26,96",-63,,,ISL,Europe,1586,"64,429",6,"0,571","4300,527","65,077","174,702","16,269",0,"1,549","0,76",,,43,"116,597",,,,,30883,1955,"83,741","5,301",1633,"4,428",,,tests performed,,,,,,,,,,,,,,"53,7",368792,"3,404","37,3","14,431","9,207","46482,958","0,2","117,992","5,31","14,3","15,2",,"2,91","82,99","0,949",,,,
Iceland,2,2020-11-06,"0,8372301143","64,6",-31,,,ISL,Europe,5039,"34,571",18,"0,857","13663,528","59,654","93,742","48,808",0,"2,324","0,65",,,78,"211,501",,,,,195082,1485,"528,976","4,027",1396,"3,785",,,tests performed,,,,,,,,,,,,,,"52,78",368792,"3,404","37,3","14,431","9,207","46482,958","0,2","117,992","5,31","14,3","15,2",,"2,91","82,99","0,949",,,,
Iceland,12,2022-03-12,"1,486531972","43,33",-13,286276,269099,ISL,Europe,158533,"2514,857",79,"1,571","429871,038",0,"6819,175","214,213",0,"4,261","0,89",,,100,"271,156",,,,,1237055,3075,"3354,343","8,338",5208,"14,122",,,tests performed,,,,,,70,,,,,190,9,"0,002","11,11",368792,"3,404","37,3","14,431","9,207","46482,958","0,2","117,992","5,31","14,3","15,2",,"2,91","82,99","0,949",,,,
India,2,2020-09-15,"1144,390188","67,96",-33,,,IND,Asia,5020359,"92890,143",82066,1168,"3602,933","64,678","66,664","58,896","0,926","0,838","1,05",,,,,,,,,58312273,1072845,"41,849","0,77",1094592,"0,786","0,0849","11,8",samples tested,,,,,,,,,,,,,,"85,65",1393409033,"450,419","28,2","5,989","3,414","6426,674","21,2","282,28","10,39","1,9","20,6","59,55","0,53","69,66","0,645",,,,
