index,location,peak_date,n_peak,peak_magnitude,peak_magnitude_norm,cluster_fd_km,cluster_fd_agg,cluster_fd_jenks,cluster_sturges_jenks,cluster_scott_jenks,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
108,Argentina,2020-10-18,1,14042.732735267,3.07915345267796,22,28,6,2,3,88.29,-35,,,ARG,South America,989680,13639143,26267,342714,21700738,231571,299066,575957,3508,7515,1.06,4387,96194,,,,,,,2942097,17678,64511,388,31992,701,391,2.6,tests performed,,,,,,,,,,,,,,82.87,45605823,16177,31.9,11198,7441,18933907,0.6,191032,5.5,16.2,27.7,,5,76.67,845,,,,
109,Argentina,2021-01-12,2,10925.8539699809,2.3957146809917,1,7,5,2,2,84.21,-30,420958,25398,ARG,South America,1744704,11710571,44848,151857,38256167,302.22,256778,983383,4254,3.33,1.11,3619,79354,,,,,,,5636913,52811,123601,1158,48578,1065,213,4.7,tests performed,175322,175255,45,22,19402,15263,0.38,0.38,0,0,335,15257,33,79.17,45605823,16177,31.9,11198,7441,18933907,0.6,191032,5.5,16.2,27.7,,5,76.67,845,,,,
111,Argentina,2021-05-26,3,30956.833896955,6.78791256479573,6,2,11,3,4,87.84,-43,9738487,2652367,ARG,South America,3622135,30139286,75588,474714,79422643,776195,660865,1657.42,11665,10409,1.08,6644,145683,,,,,,,14011918,115360,307.24,2.53,96428,2114,284,3.5,tests performed,11952142,9298015,2653931,201,153123,115816,26.21,20.39,5.82,0,2540,72233,158,81.48,45605823,16177,31.9,11198,7441,18933907,0.6,191032,5.5,16.2,27.7,,5,76.67,845,,,,
112,Argentina,2022-01-15,4,107196.401819941,23.5049813309895,15,29,23,6,8,73.64,-11,35916165,33761195,ARG,South America,7029624,113157,117989,74857,154138738,2119291,2481196,2587148,1.93,1641,1.29,1965,43087,,,,,,,31512990,122005,690986,2675,200403,4394,618,1.6,tests performed,84053408,39671845,34573217,10048264,187753,392869,184.3,86.99,75.81,22.03,8614,53883,118,49.07,45605823,16177,31.9,11198,7441,18933907,0.6,191032,5.5,16.2,27.7,,5,76.67,845,,,,
113,Argentina,2022-05-29,5,6816.89417310329,1.49474205807081,32,27,3,1,2,51.65,14,35916165,33761195,ARG,South America,9230573,7396857,128889,9143,202399001,1135337,162191,2826152,1403,0.2,-0.02,,,,,,,,,36418189,8760,798543,192,20056,0.44,303,3.3,tests performed,102792875,41131841,37470378,24505869,56795,147090,225.39,90.19,82.16,53.73,3225,1933,4,,45605823,16177,31.9,11198,7441,18933907,0.6,191032,5.5,16.2,27.7,,5,76.67,845,,,,
115,Armenia,2020-06-27,1,582.020308593479,1.96090030009986,1,12,4,2,2,74.56,-17,,,ARM,Asia,23909,600143,421,12714,8055246,223036,202196,141.84,3706,4284,1.1,,,,,,,,,109173,2065,36782,696,1917,646,326,3.1,tests performed,,,,,,,,,,,,,,,2968128,102931,35.7,11232,7571,8787.58,1.8,341.01,7.11,1.5,52.1,94043,4.2,75.09,776,,,,
116,Armenia,2020-10-31,2,2014.27029068306,6.7863322965959,6,2,11,3,4,66.65,-14,,,ARM,Asia,89813,2041429,1341,26286,30259.14,802189,687783,451.8,13813,8856,1.16,,,,,,,,,407980,5392,137454,1817,4377,1475,471,2.1,tests performed,,,,,,,,,,,,,,,2968128,102931,35.7,11232,7571,8787.58,1.8,341.01,7.11,1.5,52.1,94043,4.2,75.09,776,4061,19.47,84.04,1368.202449
118,Armenia,2021-03-30,3,908.696051086585,3.06151234409899,22,28,6,2,3,45.88,-14,0,0,ARM,Asia,191491,924429,3497,16143,64515749,252685,311452,1178184,7075,5439,1.1,,,,,,,,,853829,6354,287666,2141,5203,1753,177,5.6,tests performed,,,,,,,,,,,,,,,2968128,102931,35.7,11232,7571,8787.58,1.8,341.01,7.11,1.5,52.1,94043,4.2,75.09,776,,,,
119,Armenia,2021-10-26,4,1854.26014185052,6.24723779382331,25,2,10,3,4,40.09,-3,526399,223123,ARM,Asia,298069,1976,6112,38571,100423.23,511097,665739,2059.21,19204,12995,1.14,,,,,,,,,2033371,13696,685069,4614,15292,5152,129,7.8,tests performed,,,,,,14046,,,,,4732,9787,0.33,,2968128,102931,35.7,11232,7571,8787.58,1.8,341.01,7.11,1.5,52.1,94043,4.2,75.09,776,,,,
120,Armenia,2022-02-04,5,2811.2590174405,9.4714884851344,10,11,14,4,5,32.4,-8,1053086,854190,ARM,Asia,383458,3100571,8075,5714,129191868,1412338,1044622,2720.57,3369,1925,1.49,,,,,,,,,2772936,8857,934237,2984,7919,2668,417,2.4,tests performed,,,,,,6669,,,,,2247,3558,0.12,,2968128,102931,35.7,11232,7571,8787.58,1.8,341.01,7.11,1.5,52.1,94043,4.2,75.09,776,,,,
162,Austria,2020-11-12,1,6573.32398672564,7.26890595001968,19,5,12,3,5,58.28,-31,,,AUT,Europe,174910,6700714,2108,64857,19341879,822176,740978,233107,7962,7172,1.22,546,60378,3811,421428,,,,,2575405,38226,284793,4227,30351,3356,,,tests performed,,,,,,,,,,,,,,75,9043072,106749,44.4,19202,13748,45436686,0.7,145183,6.35,28.4,30.9,,7.37,81.54,922,,,,
164,Austria,2021-03-26,2,3078.47366439882,3.40423438450874,12,17,6,2,3,52.21,-28,1191356,440147,AUT,Europe,522107,3144143,11239,32571,57735579,381176,347685,1242.83,3096,3602,1.07,471,52084,2164,239299,,,,,22051094,485632,2438452,53702,315077,34842,0.01,100.2,tests performed,1631621,1191453,440164,61,,35685,18.04,13.18,4.87,0,3946,22312,247,73.15,9043072,106749,44.4,19202,13748,45436686,0.7,145183,6.35,28.4,30.9,,7.37,81.54,922,,,,
166,Austria,2021-11-20,3,12802.316831058,14.1570440123202,16,16,18,5,7,43.74,-14,6327506,5823533,AUT,Europe,1025373,13236286,14746,54143,113387685,1645569,1463694,1630641,5971,5987,1.23,525,58055,2872,317591,,,,,106308001,430547,11755.74,47611,473985,52414,0.0279,35.8,tests performed,,,,,,100487,,,,,11112,15726,174,59.26,9043072,106749,44.4,19202,13748,45436686,0.7,145183,6.35,28.4,30.9,,7.37,81.54,922,,,,
168,Austria,2022-03-17,4,43137.3682054246,47.7021173838101,11,9,29,9,11,30.5,-6,6816595,6407600,AUT,Europe,3316853,45726857,18418,28143,366783876,7081443,5056562,2036697,3.76,3112,1.16,207,22.89,3073,339818,,,,,169094014,768595,18698736,84993,602443,66619,0.0759,13.2,tests performed,,,,,,3434,,,,,380,280,3,,9043072,106749,44.4,19202,13748,45436686,0.7,145183,6.35,28.4,30.9,,7.37,81.54,922,,,,
171,Azerbaijan,2020-07-03,1,542.544089379668,0.530691415039607,29,13,2,1,1,60.11,-19,,,AZE,Asia,19267,556857,235,6857,1884608,57026,54469,22987,685,671,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,10223344,119309,32.4,6018,3871,15847419,,559812,7.11,0.3,42.5,83241,4.7,73,756,,,,
173,Azerbaijan,2020-12-08,2,4070.77853858268,3.98184638860111,12,17,7,2,3,81.14,-21,0,0,AZE,Asia,154152,4078571,1713,40,15078432,429116,398947,167558,3717,3913,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.54,10223344,119309,32.4,6018,3871,15847419,,559812,7.11,0.3,42.5,83241,4.7,73,756,,,,
174,Azerbaijan,2021-04-09,3,2134.07650359483,2.08745446068804,1,12,4,2,2,74.69,-9,706433,405289,AZE,Asia,281387,2152143,3846,32714,27523969,215781,210513,376198,3424,3.2,1.15,,,,,,,,,,,,,,,,,,1111722,706433,405289,,42234,31813,10.87,6.91,3.96,,3112,19491,191,72.22,10223344,119309,32.4,6018,3871,15847419,,559812,7.11,0.3,42.5,83241,4.7,73,756,,,,
175,Azerbaijan,2021-08-27,4,3599.36873605871,3.52073522720033,12,17,7,2,3,45.11,-9,3954040,2564353,AZE,Asia,409745,3551286,5469,31,40079352,411118,347.37,534952,3424,3032,1.18,,,,,,,,,4395646,16136,429962,1578,18140,1774,0.1958,5.1,tests performed,6493757,3929404,2564353,,74220,64041,63.52,38.44,25.08,,6264,44600,436,61.11,10223344,119309,32.4,6018,3871,15847419,,559812,7.11,0.3,42.5,83241,4.7,73,756,,,,
176,Azerbaijan,2021-11-02,5,2145.56070539122,2.09868777318969,1,12,4,2,2,49.6,-4,5020170,4414295,AZE,Asia,534748,2097143,7132,27571,52306564,213042,205133,697619,3032,2697,1.08,,,,,,,,,5214586,11889,510067,1163,11936,1168,0.1757,5.7,tests performed,9708264,,4414295,,47133,40480,94.96,,43.18,,3960,330,3,76.85,10223344,119309,32.4,6018,3871,15847419,,559812,7.11,0.3,42.5,83241,4.7,73,756,,,,
177,Azerbaijan,2022-02-08,6,6092.36293915436,5.95926630186205,25,2,10,3,4,57.57,-6,5276671,4754599,AZE,Asia,710366,6667571,8920,23571,69484701,687838,652191,872513,2152,2306,1.34,,,,,,,,,,,,,19273,1885,346,2.9,tests performed,12261740,5252035,4754599,2255106,43126,31802,119.94,51.37,46.51,22.06,3111,2620,26,79.63,10223344,119309,32.4,6018,3871,15847419,,559812,7.11,0.3,42.5,83241,4.7,73,756,,,,
182,Bahamas,2020-10-16,1,95.9283971814465,2.41685597337072,1,7,5,2,2,44.89,-56,,,BHS,North America,5517,114857,114,1714,13899736,332566,289375,287216,5039,4319,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.76,396914,39497,34.3,8996,5.2,27717847,,235954,13.17,3.1,20.4,,2.9,73.92,814,,,,
187,Bahamas,2021-04-26,2,57.7021102723233,1.45376858141369,32,27,3,1,2,66.25,-24,25151,3804,BHS,North America,10220,61286,198,571,25748651,428304,154406,498849,5039,1.44,1.25,,,,,,,,,,,,,,,,,,,,,,,573,,,,,1444,573,144,59.72,396914,39497,34.3,8996,5.2,27717847,,235954,13.17,3.1,20.4,,2.9,73.92,814,,,,
189,Bahamas,2021-08-22,3,118.453211307728,2.98435457826451,22,28,6,2,3,71.52,-17,74271,55291,BHS,North America,16962,117286,330,2714,42734698,0,295494,831414,0,6838,1.15,,,,,,,,,,,,,,,,,,129017,73726,55291,,,1950,32.51,18.57,13.93,,4913,1126,284,55.56,396914,39497,34.3,8996,5.2,27717847,,235954,13.17,3.1,20.4,,2.9,73.92,814,,,,
192,Bahamas,2022-01-08,4,390.52542125912,9.83904375404042,10,11,14,4,5,46.67,-12,159027,149486,BHS,North America,27122,378,717,0,68332183,0,952347,1806437,0,0,1.31,,,,,,,,,,,,,1095,2759,0.3452,2.9,tests performed,,,,,,634,,,,,1597,99,25,48.15,396914,39497,34.3,8996,5.2,27717847,,235954,13.17,3.1,20.4,,2.9,73.92,814,,,,
193,Bahamas,2022-05-28,5,55.2336975725615,1.3915784671884,32,27,3,1,2,40.39,6,166781,156774,BHS,North America,34572,51429,810,0,87101992,0,129571,2040744,0,0,1.19,,,,,,,,,,,,,237,597,217,4.6,tests performed,,,,,,,,,,,,,,44.44,396914,39497,34.3,8996,5.2,27717847,,235954,13.17,3.1,20.4,,2.9,73.92,814,,,,
196,Bahrain,2020-09-14,1,681.708039531633,3.8992735180941,12,17,7,2,3,59.56,-20,,,BHR,Asia,60965,698429,213,1857,34871117,376367,399491,121833,572,1062,1.14,,,,,,,,,1252898,,716.64,,9862,5641,0.0708,14.1,units unclear,,,,,,,,,,,,,,60.19,1748295,1935907,32.4,2372,1387,43290705,,151689,16.52,5.8,37.6,,2,77.29,852,,,,
199,Bahrain,2021-05-25,2,2582.86027566259,14.7735952780428,16,16,18,5,7,72.69,-16,890450,732710,BHR,Asia,223613,2727,866,14429,127903472,1582113,1559805,495.34,10296,8253,1.21,,,,,,,,,4509481,19951,2579359,11412,19352,11069,0.1409,7.1,units unclear,1621198,888488,732710,,19516,16332,92.73,50.82,41.91,,9342,4708,269,53.7,1748295,1935907,32.4,2372,1387,43290705,,151689,16.52,5.8,37.6,,2,77.29,852,,,,
202,Bahrain,2022-02-04,3,6749.31830517653,38.6051456143073,18,20,27,8,10,65.71,-5,1227732,1154068,BHR,Asia,405938,7232,1410,1,232190792,4160053,4136602,806.5,0,572,1.26,,,,,,,,,8873645,33630,5075599,19236,29655,16962,0.2439,4.1,units unclear,3365901,1225770,1195535,944596,1308,2429,192.52,70.11,68.38,54.03,1389,591,34,50.93,1748295,1935907,32.4,2372,1387,43290705,,151689,16.52,5.8,37.6,,2,77.29,852,,,,
205,Bangladesh,2020-06-26,1,3601.34326076477,0.216552471276687,8,13,1,1,1,68.04,-48,,,BGD,Asia,130474,3562714,1661,39,784554,23259,21423,9988,241,235,1.09,,,,,,,,,697777,18498,4196,111,16342,98,218,4.6,tests performed,,,,,,,,,,,,,,74.54,166303494,1265036,27.5,5098,3262,3523984,14.8,298003,8.38,1,44.7,34808,0.8,72.59,632,,,,
208,Bangladesh,2021-04-07,2,6242.13969640929,0.375346274829878,29,13,2,1,1,65.07,-24,5568703,80178,BGD,Asia,659278,6854714,9447,57286,3964306,45856,41218,56806,379,344,1.26,,,,,,,,,4883900,34630,29367,208,30355,183,0.2258,4.4,tests performed,5568703,5568703,,,,28325,3.35,3.35,,,170,28325,17,83.33,166303494,1265036,27.5,5098,3262,3523984,14.8,298003,8.38,1,44.7,34808,0.8,72.59,632,,,,
210,Bangladesh,2021-08-01,3,12854.4998366813,0.772954285415152,21,6,2,1,1,65.01,-39,8803650,4338165,BGD,Asia,1264328,14241857,20916,234571,7602534,89258,85638,125.77,1389,1411,1.15,,,,,,,,,7791758,49529,46853,298,47877,288,0.2975,3.4,tests performed,13141815,8803650,4338165,,292550,396478,7.9,5.29,2.61,,2384,389620,234,93.52,166303494,1265036,27.5,5098,3262,3523984,14.8,298003,8.38,1,44.7,34808,0.8,72.59,632,,,,
211,Bangladesh,2022-01-28,4,12403.4337575573,0.745831218528536,29,6,2,1,1,52.1,28,97841338,60963557,BGD,Asia,1762771,14022143,28308,16571,10599723,92842,84317,170219,0.12,0.1,1.35,,,,,,,,,12358300,46268,74312,278,44176,266,0.3174,3.2,tests performed,,,,,,890031,,,,,5352,435334,262,68.52,166303494,1265036,27.5,5098,3262,3523984,14.8,298003,8.38,1,44.7,34808,0.8,72.59,632,,,,
225,Barbados,2021-02-16,1,73.4376687070377,2.55250701082478,22,7,5,2,2,29,-75,6683,221,BRB,North America,2331,73857,25,714,8101964,218972,256709,86894,3476,2483,1.19,,,,,,,,,,,,,,,,,,6683,6683,,,2193,2193,2.32,2.32,,,7622,2193,762,74.07,287708,664463,39.8,14952,9473,16978068,,170.05,13.57,1.9,14.5,88469,5.8,79.19,814,,,,
229,Barbados,2021-10-27,2,342.093678168596,11.8903081655218,20,1,16,4,6,57.69,-14,148451,124043,BRB,North America,16424,355714,149,3714,57085656,1359017,1236373,517886,20854,12.91,1.07,,,,,,,,,,,,,,,,,,272021,147978,124043,,1102,960,94.55,51.43,43.11,,3337,267,93,67.59,287708,664463,39.8,14952,9473,16978068,,170.05,13.57,1.9,14.5,88469,5.8,79.19,814,,,,
230,Barbados,2022-01-28,3,635.10935433851,22.0747895205733,26,14,22,6,8,57.69,-2,159002,146993,BRB,North America,42851,668571,277,429,148939202,2533819,2323785,962782,0,1.49,1.1,,,,,,,,,,,,,,,,,,,,,,,193,,,,,671,96,33,62.04,287708,664463,39.8,14952,9473,16978068,,170.05,13.57,1.9,14.5,88469,5.8,79.19,814,,,,
231,Barbados,2022-05-07,4,438.192229185361,15.2304499417938,27,16,18,5,7,57.69,2,162176,152234,BRB,North America,73198,445429,405,1571,254417673,1581465,1548197,1407677,6951,5462,1.03,,,,,,,,,659902,,2293652,,1373,4772,0.3244,3.1,tests performed,314065,161885,152180,,25,48,109.16,56.27,52.89,,167,20,7,43.52,287708,664463,39.8,14952,9473,16978068,,170.05,13.57,1.9,14.5,88469,5.8,79.19,814,,,,
233,Belarus,2020-12-19,1,1895.50198714578,2.00733737661007,1,12,4,2,2,68.93,-15,0,0,BLR,Europe,171579,1892143,1316,8857,18170223,204493,200378,139364,847,938,1.02,,,,,,,,,,,,,23159,2453,0.0817,12.2,tests performed,,,,,,,,,,,,,,37.04,9442867,46858,40.3,14799,9788,17167967,,443129,5.18,10.5,46.1,,11,74.79,823,,,,
239,Belarus,2021-10-19,2,2024.03210275602,2.14345082140416,1,12,4,2,2,70.02,-11,2656545,1904108,BLR,Europe,575856,2014714,4432,16143,60983174,202587,213358,469349,1589,1.71,1.01,,,,,,,,,,,,,34891,3695,0.0577,17.3,tests performed,,,,,,37913,,,,,4015,20474,217,19.44,9442867,46858,40.3,14799,9788,17167967,,443129,5.18,10.5,46.1,,11,74.79,823,,,,
240,Belarus,2022-02-13,3,7267.18270812817,7.69594944853949,19,5,12,3,5,46.67,-15,5465447,4497626,BLR,Europe,831966,7796429,6253,15143,88105233,944734,825642,662193,1694,1604,1.28,,,,,,,,,,,,,28467,3015,0.2739,3.7,tests performed,10425997,5460847,4497626,,,32333,110.41,57.83,47.63,,3424,10477,111,23.15,9442867,46858,40.3,14799,9788,17167967,,443129,5.18,10.5,46.1,,11,74.79,823,,,,
244,Belgium,2020-10-27,1,14769.2436557654,12.6967155996083,3,1,17,4,6,72.32,-37,,,BEL,Europe,347289,15304286,11038,78429,29855487,1166662,1315668,948907,11949,6742,1.24,912,78402,5548,476946,,,3965,340.86,4749745,71476,408323,6145,64974,5586,269,3.7,tests performed,,,,,,,,,,,,,,54.63,11632334,375564,41.8,18571,12849,42658576,0.2,114898,4.29,25.1,31.4,,5.64,81.63,931,,,,
252,Belgium,2022-03-23,2,10331.2279261678,8.88147462595881,30,25,13,3,5,12.41,-10,9268961,8712824,BEL,Europe,3757776,10570286,30635,20429,323045745,1389403,908699,2633607,2579,1756,1.17,172,14786,2590,222655,,,1284,110382,32580324,47660,2800842,4097,38337,3296,302,3.3,tests performed,25238250,9234580,9129898,7303002,13791,5374,216.97,79.39,78.49,62.78,462,224,2,23.15,11632334,375564,41.8,18571,12849,42658576,0.2,114898,4.29,25.1,31.4,,5.64,81.63,931,,,,
260,Belize,2020-12-06,1,234.0197099605,5.77947742021165,25,4,10,3,4,,,,,BLZ,North America,7769,289429,173,3714,19186743,414902,714788,427.25,2.47,9173,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,404915,16426,25,3853,2279,7824362,,176957,17.11,,,90083,1.3,74.62,716,,,,
265,Belize,2021-10-17,2,235.937636528997,5.82684357282385,25,4,10,3,4,53.98,-11,211549,157364,BLZ,North America,23990,257571,461,4857,59247002,0,636112,1138511,0,11995,1.2,,,,,,,,,,,,,1567,3.87,0.1644,6.1,tests performed,,,,,,1738,,,,,4292,1038,256,70.37,404915,16426,25,3853,2279,7824362,,176957,17.11,,,90083,1.3,74.62,716,,,,
266,Belize,2022-01-18,3,704.418831803561,17.3967087364894,13,22,20,5,7,64.64,-2,231999,201830,BLZ,North America,43115,720429,611,571,106479138,3082128,1779209,1508959,0,1411,1.31,,,,,,,,,,,,,2790,6.89,0.2582,3.9,tests performed,,,,,,739,,,,,1825,86,21,72.22,404915,16426,25,3853,2279,7824362,,176957,17.11,,,90083,1.3,74.62,716,,,,
278,Benin,2021-02-14,1,75.4060625856816,0.0605621033195417,8,32,1,1,1,54.64,-21,0,0,BEN,Africa,4560,52429,56,143,366235,0,4211,4498,0,11,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,12451031,99.11,18.8,3244,1942,2064236,49.6,235848,0.99,0.6,12.3,11035,0.5,61.77,545,,,,
282,Benin,2021-09-03,2,447.444042387586,0.359363045829366,29,13,2,1,1,52.57,1,128417,94718,BEN,Africa,16946,511429,135,1,1361012,81439,41075,10842,321,0.08,0.49,,,,,,,,,,,,,,,,,,,,,,,3579,,,,,287,4261,34,44.44,12451031,99.11,18.8,3244,1942,2064236,49.6,235848,0.99,0.6,12.3,11035,0.5,61.77,545,,,,
327,Bolivia,2020-08-01,1,1502.40201179538,1.26967813549856,21,27,3,1,2,83.71,-54,,,BOL,South America,78793,1501714,3064,75571,6658787,169358,126.91,258938,7352,6387,1.02,,,,,,,,,154047,3519,13018,297,2754,233,0.5453,1.8,tests performed,,,,,,,,,,,,,,89.81,11832936,10202,25.4,6704,4393,6885829,7.1,204299,6.89,,,25383,1.1,71.51,718,,,,
329,Bolivia,2021-01-24,2,2067.32846493747,1.74709680246514,32,12,4,1,2,82.23,-32,0,0,BOL,South America,201037,1979143,9985,49857,16989613,88566,167257,843831,4902,4213,1.1,,,,,,,,,513870,3628,43427,307,4938,417,0.4008,2.5,tests performed,,,,,,,,,,,,,,30.56,11832936,10202,25.4,6704,4393,6885829,7.1,204299,6.89,,,25383,1.1,71.51,718,,,,
331,Bolivia,2021-05-28,3,2762.86748354366,2.33489599161498,1,7,5,2,2,81.48,-14,1271262,345396,BOL,South America,364570,3072143,14377,85286,30809767,252685,259626,1214999,5493,7207,1.11,211,17832,2361,199528,,,,,1452301,14325,122734,1211,12189,1.03,252,4,tests performed,1616658,1271262,345396,,52309,37096,13.66,10.74,2.92,,3135,30404,257,27.78,11832936,10202,25.4,6704,4393,6885829,7.1,204299,6.89,,,25383,1.1,71.51,718,,,,
333,Bolivia,2022-01-14,4,9759.9874117077,8.24815363803852,30,5,13,3,5,73.48,7,6406691,4903383,BOL,South America,725459,10377143,20149,37286,61308453,1196.66,876971,1702.79,3887,3151,1.19,175,14789,1825,154231,,,,,3355066,29723,283536,2512,22398,1893,0.4633,2.2,tests performed,11038395,6395421,4903383,732411,72624,78859,93.29,54.05,41.44,6.19,6664,43906,371,29.63,11832936,10202,25.4,6704,4393,6885829,7.1,204299,6.89,,,25383,1.1,71.51,718,,,,
361,Bosnia and Herzegovina,2020-11-04,1,1516.86440902296,4.64802655410397,23,23,8,2,3,47.53,-16,,,BIH,Europe,55598,1551571,1358,28143,17036525,544208,475438,416123,12563,8624,1.21,,,,,,,,,327103,4456,100232,1365,3424,1049,0.4531,2.2,tests performed,,,,,,,,,,,,,,42.59,3263459,68496,42.5,16569,10711,11713895,0.2,329635,10.08,30.2,47.7,97164,3.5,77.4,0.78,,,,
362,Bosnia and Herzegovina,2021-03-28,2,1530.86173278141,4.69091762078644,23,23,8,2,3,45.86,-30,0,10000,BIH,Europe,162032,1527857,6220,63857,49650386,0,468171,1905953,0,19567,1.17,,,,,,,,,,,,,4628,1418,0.3301,3,tests performed,,,,,,574,,,,,176,413,13,42.59,3263459,68496,42.5,16569,10711,11713895,0.2,329635,10.08,30.2,47.7,97164,3.5,77.4,0.78,,,,
365,Bosnia and Herzegovina,2022-01-19,3,2226.66730941796,6.82302829426679,6,2,11,3,4,23.98,-22,935118,831493,BIH,Europe,324026,2370429,13912,30857,99289128,916819,726355,4262961,7354,9455,1.31,,,,,,,,,,,,,,,,,,,,,,,4315,,,,,1322,1020,31,35.19,3263459,68496,42.5,16569,10711,11713895,0.2,329635,10.08,30.2,47.7,97164,3.5,77.4,0.78,,,,
381,Botswana,2021-08-06,1,2032.55780329624,8.4787413996773,30,25,13,3,5,71.42,31,243894,132466,BWA,Africa,122574,2269143,1704,19286,51131301,0,946565,710817,0,8045,1.26,,,,,,,,,1542739,,643548,,3966,1654,0.5721,1.7,tests performed,376360,243894,132466,,,1603,15.7,10.17,5.53,,669,874,36,53.7,2397240,4044,25.8,3941,2242,15807374,,237372,4.81,5.7,34.4,,1.8,69.59,735,,,,
386,Botswana,2022-03-30,2,3065.13770137078,12.7861111168293,3,1,17,4,6,59.99,77,1461583,1323270,BWA,Africa,305526,5939429,2686,9571,127449066,17343278,2477611,1120455,27949,3993,0.17,,,,,,,,,,,,,1166,486,,,tests performed,,,,,,9685,,,,,4040,506,21,13.89,2397240,4044,25.8,3941,2242,15807374,,237372,4.81,5.7,34.4,,1.8,69.59,735,,,,
389,Brazil,2020-07-29,1,44610.22865837,2.08465401789441,1,12,4,2,2,70.11,-30,,,BRA,South America,2559132,45986143,90259,1042857,11958927,259125,214895,421784,5603,4873,1.07,,,,,,,,,,,,,126094,589,,,tests performed,,,,,,,,,,,,,,72.69,213993441,25.04,33.5,8552,5.06,14103452,3.4,177961,8.11,10.1,17.9,,2.2,75.88,765,,,,
393,Brazil,2021-03-22,2,74347.5380192655,3.47429050497232,12,17,7,2,3,68.11,-40,12314847,4252255,BRA,South America,12062229,75293,295926,2301286,56367284,261.55,351847,1382874,7491,10754,1.06,,,,,,,,,38533309,118714,180068,555,89343,418,,,tests performed,16567102,12314847,4252255,,586739,400504,7.74,5.75,1.99,,1872,318151,149,70.83,213993441,25.04,33.5,8552,5.06,14103452,3.4,177961,8.11,10.1,17.9,,2.2,75.88,765,,,,
399,Brazil,2022-01-29,3,174802.006990527,8.16856844647528,30,5,13,3,5,59.28,0,169844640,149779557,BRA,South America,25256198,189227,626870,525571,118023234,960763,884265,2929389,3271,2456,1.29,,,,,,,,,,,,,76544,358,,,tests performed,361165196,169825847,149779557,46576117,672466,1202899,168.77,79.36,69.99,21.77,5621,258724,121,61.57,213993441,25.04,33.5,8552,5.06,14103452,3.4,177961,8.11,10.1,17.9,,2.2,75.88,765,,,,
443,Bulgaria,2020-11-15,1,3276.92141151099,4.75146489350416,23,23,8,2,3,56.81,-19,,,BGR,Europe,98251,3298714,2130,66429,14246182,118318,478306,308845,5655,9632,1.12,295,42774,5166,749059,,,,,853900,6450,123814,935,8660,1256,0.3809,2.6,tests performed,,,,,,,,,,,,,,48.15,6896655,65.18,44.7,20801,13272,18563307,1.5,424688,5.81,30.1,44.4,,7454,75.05,816,3716.6,3.94,87.56,538.89893
444,Bulgaria,2021-03-24,2,3553.40539959662,5.15236067281402,31,4,9,3,4,57.11,-27,321332,79977,BGR,Europe,317116,3621,12413,99714,45981131,634366,525037,1799858,15.37,14458,1.13,729,105703,8927,1294396,,,,,,,,,15609,2263,232,4.3,tests performed,401309,321332,79977,,12504,7230,5.82,4.66,1.16,,1048,4912,71,61.11,6896655,65.18,44.7,20801,13272,18563307,1.5,424688,5.81,30.1,44.4,,7454,75.05,816,,,,
446,Bulgaria,2021-10-28,3,4481.83796110221,6.49856772754649,6,2,11,3,4,47.06,-8,1662785,1491628,BGR,Europe,592943,4721429,23718,125571,85975448,750799,684597,3439059,17.98,18208,1.17,607,88014,7373,1069069,,,,,,,,,34386,4986,0.1373,7.3,tests performed,2824345,,1491628,,23380,19833,40.95,,21.63,,2876,9454,137,50,6896655,65.18,44.7,20801,13272,18563307,1.5,424688,5.81,30.1,44.4,,7454,75.05,816,,,,
