index,location,peak_date,n_peak,peak_magnitude,peak_magnitude_norm,cluster_fd_km,cluster_fd_agg,cluster_fd_jenks,cluster_sturges_jenks,cluster_scott_jenks,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
2622,Spain,2022-01-14,2,128404.459944411,27.4690085246189,4,19,24,7,9,81.84,-23,40174355,37763893,ESP,Europe,8093036,132590,90759,117857,173130805,3476463,2836.44,1941568,2974,2521,1.27,2224,47577,15011,321124,1283,27447,14380,307625,78008022,385306,1668792,8243,344024,7.36,0.38,2.6,tests performed,,,,,,237859,,,,,5088,50412,108,46.76,46745211,93105,45.5,19436,13799,34272.36,1,99403,7.17,27.4,31.4,,2.97,83.56,904,,,,
2828,Turkey,2020-12-06,1,30754.8406628433,3.61639830859196,12,17,7,2,3,87.91,-38,0,0,TUR,Asia,828295,31523857,14900,191714,9739.75,357491,370683,175206,2293,2254,1.25,,,,,,,,,19651555,174761,231079,2055,182316,2144,0.1729,5.8,tests performed,,,,,,,,,,,,,,66.2,85042736,104914,31.6,8153,5061,25129341,0.2,171285,12.13,14.1,41.1,,2.81,77.69,0.82,,,,
2833,Turkey,2021-11-02,2,27044.0684408707,3.1800562532314,22,28,6,2,3,59.02,10,55602327,48846431,TUR,Asia,8091462,26050143,71052,213286,95145834,350365,306318,835486,2634,2508,1.01,,,,,,,,,97974085,361533,1152057,4251,353086,4152,0.0738,13.6,tests performed,116663497,55477173,48846431,12339893,177263,141272,137.18,65.23,57.44,14.51,1661,31519,37,51.85,85042736,104914,31.6,8153,5061,25129341,0.2,171285,12.13,14.1,41.1,,2.81,77.69,0.82,,,,
2834,Turkey,2022-02-05,3,97611.8866106566,11.4779805074306,20,18,16,4,6,60.69,5,57611844,52500475,TUR,Asia,12150567,101727286,88533,212571,142876012,1160769,1196.19,1041041,2599,2.5,1.12,,,,,,,,,133853067,421435,1573951,4956,445548,5239,0.2283,4.4,tests performed,142833393,57486690,52500475,32846228,97925,161370,167.95,67.6,61.73,38.62,1898,12037,14,58.33,85042736,104914,31.6,8153,5061,25129341,0.2,171285,12.13,14.1,41.1,,2.81,77.69,0.82,,,,
2883,United Kingdom,2021-01-06,1,54410.0451597549,7.977180380298,19,5,12,3,5,64.3,-54,0,391399,GBR,Europe,2839956,57724286,77409,686286,41637.24,914128,846309,1134911,15306,10062,1.15,2821,41359,31948,468397,,,25824,378612,51875174,552723,760554,8104,463586,6797,0.1245,8,tests performed,,,,,,,,,,,,,,87.96,68207114,272898,40.8,18517,12527,39753244,0.2,122137,4.28,20,24.7,,2.54,81.32,932,,,,
2887,United Kingdom,2022-01-03,2,162091.854405902,23.764655165721,15,29,23,6,8,51.79,-12,51980836,47482789,GBR,Europe,13451558,169661571,149006,125857,197216349,2757.44,2487447,2184611,616,1845,1.2,878,12873,16498,241881,,,16136,236574,397615859,1793027,5829536,26288,1551944,22753,0.1093,9.1,tests performed,133667427,51820652,47482789,34363986,190278,274900,195.97,75.98,69.62,50.38,4030,19872,29,48.61,68207114,272898,40.8,18517,12527,39753244,0.2,122137,4.28,20,24.7,,2.54,81.32,932,,,,
2894,United States,2021-01-07,1,234766.24607944,7.05183587089361,6,2,11,3,4,76.13,-34,10435663,1203892,USA,North America,21810277,231278857,370934,2842143,65513035,859811,694708,1114.2,12033,8537,1.1,28491,85.58,128819,386943,,,115039,345551,269307958,2262899,808939,6797,1630762,4898,144,6.9,tests performed,9882918,9061529,641530,2,1172202,602492,2.98,2.73,0.19,0,1815,505292,152,71.76,332915074,35608,38.3,15413,9732,54225446,1.2,151089,10.79,19.1,24.6,,2.77,78.86,926,,,,
2897,United States,2022-01-12,2,753970.294103647,22.6475264410421,26,14,22,6,8,49.37,-19,250672776,211488422,USA,North America,63437572,801061571,846569,1920429,190551816,2549.11,2406204,2542898,8.48,5769,1.22,25334,76097,149706,449682,,,149733,449763,754845383,2931461,2267381,8805,2530715,7602,284,3.5,tests performed,532628139,247512993,211528082,83845802,1297320,1207309,160.43,74.55,63.71,25.25,3636,312941,94,53.24,332915074,35608,38.3,15413,9732,54225446,1.2,151089,10.79,19.1,24.6,,2.77,78.86,926,,,,
2899,United States,2022-06-02,3,107038.415673498,3.21518681588741,22,28,6,2,3,19.35,-4,259570554,230527403,USA,North America,84582387,100796143,1008065,275714,254065957,364625,302768,3027994,0.94,828,1.11,2688,8074,24890,74764,,,28782,86454,899837610,739458,2702904,2221,479473,1.44,0.14,7.1,tests performed,589436718,258787420,221587410,118775795,342128,261778,177.54,77.95,66.74,35.77,788,35949,11,38.89,332915074,35608,38.3,15413,9732,54225446,1.2,151089,10.79,19.1,24.6,,2.77,78.86,926,,,,
2920,Uruguay,2021-05-28,1,3628.89270505608,10.4124374060474,28,15,15,4,6,86.36,-30,1771346,1009184,URY,South America,282198,3379714,4118,51143,80971504,523937,969747,1181584,14.92,14674,1.06,,,,,,,,,2206127,24544,633007,7042,18144,5206,0.1863,5.4,people tested,2776669,1767324,1009345,214,37252,30371,79.67,50.71,28.96,0.01,8714,26974,774,62.04,3485152,19751,35.6,14655,10361,20551409,0.1,160708,6.93,14,19.9,,2.8,77.91,817,,,,
2923,Uruguay,2022-01-23,2,10555.9027883183,30.2882135078134,24,10,26,7,9,71.71,-19,2824543,2655070,URY,South America,588995,10879143,6308,9286,169001237,2562012,3121569,1809964,1435,2664,1.24,,,,,,,,,5018294,25231,1439907,7.24,30987,8891,0.3511,2.8,people tested,7297483,2839358,2691443,1766682,9,20035,209.39,81.47,77.23,50.69,5749,5992,172,28.7,3485152,19751,35.6,14655,10361,20551409,0.1,160708,6.93,14,19.9,,2.8,77.91,817,,,,
